Aktual;Predicted
ABBR;ENTY
ABBR;ABBR
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;LOC
DESC;LOC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;HUM
DESC;ENTY
DESC;ENTY
DESC;HUM
DESC;DESC
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
ENTY;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;LOC
ABBR;ABBR
ABBR;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
HUM;LOC
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;LOC
HUM;DESC
HUM;ENTY
HUM;HUM
HUM;ENTY
HUM;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
LOC;LOC
LOC;LOC
LOC;LOC
NUM;NUM
NUM;NUM
ENTY;LOC
ENTY;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
ENTY;DESC
ENTY;ENTY
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;HUM
LOC;ENTY
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;DESC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
NUM;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;DESC
NUM;LOC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;HUM
ENTY;HUM
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
ENTY;DESC
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
LOC;LOC
LOC;LOC
LOC;LOC
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;NUM
ENTY;ENTY
HUM;DESC
HUM;HUM
HUM;HUM
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
