Aktual;Predicted
ABBR;ABBR
ABBR;ABBR
ENTY;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;LOC
ENTY;ENTY
LOC;LOC
LOC;LOC
LOC;LOC
LOC;DESC
LOC;LOC
LOC;LOC
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
ENTY;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;LOC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;ENTY
DESC;HUM
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;LOC
DESC;DESC
DESC;DESC
DESC;DESC
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;ENTY
ABBR;DESC
ABBR;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;ENTY
HUM;LOC
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;LOC
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
DESC;DESC
DESC;NUM
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
LOC;LOC
LOC;LOC
LOC;LOC
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
ENTY;LOC
ENTY;ENTY
LOC;LOC
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;LOC
LOC;ENTY
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;LOC
DESC;DESC
DESC;ENTY
DESC;ENTY
DESC;DESC
ENTY;ENTY
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
LOC;LOC
LOC;LOC
LOC;LOC
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
HUM;HUM
HUM;ENTY
HUM;HUM
ENTY;HUM
ENTY;HUM
ENTY;ENTY
NUM;NUM
NUM;ENTY
NUM;NUM
NUM;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
