coarse,fine,english,indo
ABBR,abb,What is the abbreviation of the company name ` General Motors ' ?,Apa singkatan dari nama perusahaan `General Motors '?
ABBR,abb,What 's the abbreviation for trinitrotoluene ?,Apa singkatan dari trinitrotoluene?
ENTY,animal,What is the West Virginia state animal ?,Apa binatang negara bagian Virginia Barat?
ENTY,animal,What is the fastest fish in the world ?,Apa ikan tercepat di dunia?
ENTY,animal,What creature scares people in the film  Jaws  ?,Makhluk apa yang membuat orang takut pada film Jaws?
ENTY,animal,"Which mammal lives , breeds , eats , and sleeps underground ?","Mamalia yang hidup, berkembang biak, makan, dan tidur di bawah tanah?"
ENTY,animal,Who were John F. Kennedy 's dogs ?,Siapa anjing John F. Kennedy?
ENTY,body,The corpus callosum is in what part of the body ?,Corpus callosum ada di bagian tubuh mana?
ENTY,body,What part of your body contains the corpus callosum ?,Bagian mana dari tubuh Anda yang mengandung corpus callosum?
LOC,city,What Scandinavian capital is built on nine bridge-connected islands ?,Ibu kota Skandinavia apa yang dibangun di sembilan pulau yang terhubung dengan jembatan?
LOC,city,What is the largest city on the Great Lakes ?,Apa kota terbesar di Great Lakes?
LOC,city,What were the first three cities to have a population of more than a million ?,Apa tiga kota pertama yang memiliki populasi lebih dari satu juta?
LOC,city,What is California 's capital ?,Apa itu ibukota California?
LOC,city,What is the most populated city in the world ?,Apa kota terpadat di dunia?
LOC,city,Which large U.S. city had the highest murder rate for 1988 ?,Kota besar AS mana yang memiliki tingkat pembunuhan tertinggi untuk tahun 1988?
NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
NUM,code,What is the telephone number for the University of Kentucky ?,Berapa nomor telepon untuk University of Kentucky?
ENTY,color,What color is most often used to symbolize truth ?,Warna apa yang paling sering digunakan untuk melambangkan kebenaran?
ENTY,color,What color of dry wine should be served with veal roasts and chops ?,Apa warna anggur kering yang harus disajikan dengan daging sapi panggang dan daging?
ENTY,color,What color are the castellated walls of the Kremlin ?,Apa warna tembok istana Kremlin?
ENTY,color,What color are tennis balls ?,Apa warna bola tenis?
NUM,count,What 's the American dollar equivalent for 8 pounds in the U.K. ?,Berapa setara dengan dolar Amerika untuk 8 pound di Inggris?
NUM,count,How many people have been Captain America ?,Berapa banyak orang yang pernah menjadi Kapten Amerika?
NUM,count,How many engines does a Boeing 737 have ?,Berapa banyak mesin yang dimiliki Boeing 737?
NUM,count,How many points are there on a Backgammon board ?,Berapa banyak poin yang ada di papan Backgammon?
NUM,count,How many films are made by the major studios in a year ?,Berapa banyak film yang dibuat oleh studio besar dalam setahun?
NUM,count,How many wives did Brigham Young have ?,Berapa banyak istri yang dimiliki Brigham Young?
NUM,count,How many small businesses are there in the U.S .,Berapa banyak usaha kecil yang ada di AS.
NUM,count,How many referees work a soccer game ?,Berapa banyak wasit yang bekerja di permainan sepakbola?
NUM,count,How many James Bond novels are there ?,Ada berapa banyak novel James Bond?
NUM,count,How much waste does an average dairy cow produce in a day ?,Berapa banyak limbah yang dihasilkan oleh sapi perah rata-rata dalam sehari?
NUM,count,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .","Berapa banyak orang di darat yang tewas akibat pemboman Pan Am Flight 103 di atas Lockerbie, Skotlandia, 21 Desember, CD."
NUM,count,How many years ago did the ship Titanic sink ?,Berapa tahun yang lalu kapal Titanic tenggelam?
NUM,count,What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,Berapa jumlah pembunuhan dan upaya pembunuhan di AS sejak 1865?
NUM,count,How much electricity does the brain need to work ?,Berapa banyak listrik yang dibutuhkan otak untuk bekerja?
NUM,count,How many students attend the University of Massachusetts ?,Berapa banyak siswa yang kuliah di University of Massachusetts?
NUM,count,"How many casinos are in Atlantic City , NJ ?","Berapa banyak kasino di Atlantic City, NJ?"
NUM,count,How much snow equals an inch of rain ?,Berapa banyak salju sama dengan satu inci hujan?
LOC,country,What country has been called The Queen of the Antilles ?,Negara apa yang disebut Ratu Antilles?
LOC,country,What country other than Germany invaded Poland in September 1939 ?,Negara apa selain Jerman yang menginvasi Polandia pada bulan September 1939?
LOC,country,What African country is governed from Ouagadougou ?,Negara Afrika apa yang diperintah dari Ouagadougou?
LOC,country,What countries have the best math students ?,Negara mana yang memiliki siswa matematika terbaik?
LOC,country,What is Stefan Edberg 's native country ?,Apa negara asal Stefan Edberg?
LOC,country,What countries have the largest armed forces in the world ?,Negara apa yang memiliki angkatan bersenjata terbesar di dunia?
LOC,country,Which country is Australia 's largest export market ?,Negara mana yang merupakan pasar ekspor terbesar Australia?
ENTY,cremat,What was John F. Kennedy 's 1960 campaign song ?,Apa lagu kampanye 1960 John F. Kennedy?
ENTY,cremat,"What 1950 film won seven Oscars , including best picture ?","Apa film 1950 yang memenangkan tujuh Oscar, termasuk gambar terbaik?"
ENTY,cremat,What Broadway musical was inspired by Cervantes 's Don Quixote ?,Musikal Broadway apa yang diilhami oleh Don Quixote dari Cervantes?
ENTY,cremat,What song served as the closing theme of The Johnny Cash Show ?,Lagu apa yang menjadi tema penutup The Johnny Cash Show?
ENTY,cremat,What 1965 film had Jack Lemmon portraying a cartoonist ?,Apa film 1965 yang diperankan Jack Lemmon sebagai kartunis?
ENTY,cremat,What movie did Steven Spielberg direct in 1975 ?,Film apa yang disutradarai Steven Spielberg pada tahun 1975?
ENTY,cremat,What was Connecticut 's first constitution called ?,Apa yang disebut konstitusi pertama Connecticut?
ENTY,currency,What type of currency is used in China ?,Jenis mata uang apa yang digunakan di Tiongkok?
NUM,date,When is the site www.questions.com going to open ?,Kapan situs www.questions.com akan dibuka?
NUM,date,When did CNN begin broadcasting ?,Kapan CNN mulai siaran?
NUM,date,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,Kapan Israel mulai mengubah Jalur Gaza dan Yerikho ke PLO?
NUM,date,In which year was New Zealand excluded from the ANZUS alliance ?,Di tahun mana Selandia Baru dikeluarkan dari aliansi ANZUS?
NUM,date,When did Gothic art and architecture flourish ?,Kapan seni dan arsitektur Gotik berkembang?
NUM,date,When did beethoven die ?,Kapan beethoven mati?
NUM,date,When were fish first believed to be found on earth ?,Kapan ikan pertama kali dipercaya ditemukan di bumi?
NUM,date,What year did the United States pass the Copyright law ?,Tahun berapa Amerika Serikat mengesahkan undang-undang Hak Cipta?
NUM,date,What year did the first issue of  Playboy  come out ?,Tahun berapa Playboy edisi pertama terbit?
