coarse,fine,english,indo
ABBR,abb,What is the abbreviation of General Motors ?,Apa singkatan dari General Motors?
ABBR,abb,What 's the abbreviation for limited partnership ?,Apa singkatan untuk kemitraan terbatas?
ENTY,animal,What animal has the best hearing ?,Hewan apa yang memiliki pendengaran terbaik?
ENTY,animal,What animal has killed the most people ?,Hewan apa yang paling banyak membunuh orang?
ENTY,animal,What racehorse won an Associated Press poll as the greatest horse of the 20th century ?,Kuda pacuan apa yang memenangkan jajak pendapat Associated Press sebagai kuda terbesar abad ke-20?
ENTY,animal,What is Dudley Do-Right 's horse 's name ?,Siapa nama kuda Dudley Do-Right?
ENTY,animal,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",Hewan apa yang menerima persetujuan kerajaan sebagai lambang Kanada pada 24 Maret 1975?
ENTY,body,What is the softest part of the body ?,Apa bagian terlembut dari tubuh?
ENTY,body,What is the weakest bone in the body ?,Apa tulang terlemah dalam tubuh?
LOC,city,What town was the setting for The Music Man ?,Kota apa yang menjadi latar bagi The Music Man?
LOC,city,What city 's the kickoff point for climbs of Mount Everest ?,Kota apa titik awal untuk pendakian Gunung Everest?
LOC,city,What city hosted the first Winter Olympics in Asia ?,Kota apa yang menjadi tuan rumah Olimpiade Musim Dingin pertama di Asia?
LOC,city,What Georgia town did Scarlett O 'Hara condemn as being full of pushy people ?,Kota Georgia apa yang menurut Scarlett O 'Hara penuh dengan orang-orang yang memaksa?
LOC,city,What city is terrorized by Dracula in The Night Stalker ?,Kota apa yang diteror oleh Dracula di The Night Stalker?
LOC,city,What city did the Mormons establish as their headquarters in 1847 ?,Kota apa yang ditetapkan orang Mormon sebagai markas mereka pada tahun 1847?
NUM,code,What seven digits follow the area code in the number for long distance information ?,Tujuh digit apa yang mengikuti kode area dalam angka untuk informasi jarak jauh?
ENTY,color,What color are a cherry tree 's flowers ?,Apa warna bunga pohon ceri?
ENTY,color,What 's the most popular contact lens color ?,Apa warna lensa kontak paling populer?
ENTY,color,What is your favorite color ?,Apa warna kesukaanmu ?
