coarse,fine,english,indo
ABBR,abb,What is the acronym for the National Bureau of Investigation ?,Apa akronim untuk Biro Investigasi Nasional?
ABBR,abb,What is the correct way to abbreviate cc. at the bottom of a business letter ?,Apa cara yang benar untuk menyingkat cc.???di bagian bawah surat bisnis?
ENTY,animal,What kind of animals were in the Paleozoic era ?,Hewan seperti apa yang ada di era Paleozoikum?
ENTY,animal,"In Hemingway 's  Old Man and the Sea ,  what kind of fish does the old man catch ?","Di Hemingway's Old Man and the Sea, jenis ikan apa yang ditangkap oleh orang tua itu?"
ENTY,animal,What was the name of Baretta 's cockatoo ?,Siapa nama kakatua Baretta?
ENTY,animal,What two animals are specifically mentioned as being in Noah 's Ark ?,Apa dua binatang yang secara khusus disebutkan berada di Bahtera Nuh?
ENTY,animal,What are the two largest birds on earth ?,Apa dua burung terbesar di dunia?
ENTY,body,What is the only gland in humans that can regenerate itself ?,Apa satu-satunya kelenjar pada manusia yang bisa beregenerasi sendiri?
ENTY,body,Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?,Kaki mana yang digunakan kucing untuk bergerak dengan kaki depan kirinya saat berjalan - kaki belakang kiri atau kanan belakangnya?
LOC,city,McCarren Airport is located in what city ?,Bandara McCarren terletak di kota apa?
LOC,city,What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,Apa ibu kota dari dua negara besar yang menempati semenanjung Iberia di Eropa?
LOC,city,What city was Martin Luther King Jr. assassinated in ?,Di kota mana Martin Luther King Jr dibunuh?
LOC,city,What 's the capital of Monaco ?,Apa ibukota Monako?
LOC,city,What city was Bobby Kennedy assassinated in ?,Di kota mana Bobby Kennedy dibunuh?
LOC,city,Which city in China has the largest number of foreign financial companies ?,Kota mana di Cina yang memiliki jumlah perusahaan keuangan asing terbesar?
NUM,code,What phone number can I call to have a tree planted ?,Nomor telepon apa yang dapat saya hubungi untuk menanam pohon?
NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
ENTY,color,What color were Ernest Hemingway 's eyes ?,Apa warna mata Ernest Hemingway?
ENTY,color,What is the predominant color of the Tab label ?,Apa warna dominan dari label Tab?
ENTY,color,What color is an Arctic fox in winter ?,Apa warna rubah Kutub Utara di musim dingin?
ENTY,color,What color is Mr. Spock 's blood ?,Apa warna darah Tn. Spock?
NUM,count,How many miles is it to Ohio from North Carolina ?,Berapa mil ke Ohio dari North Carolina?
NUM,count,How many hands does Bjorn Borg use when hitting his forehand ?,Berapa banyak tangan yang digunakan Bjorn Borg ketika mengenai pukulan forehandnya?
NUM,count,How many consecutive baseball games did Lou Gehrig play ?,Berapa banyak pertandingan baseball berturut-turut yang dimainkan Lou Gehrig?
NUM,count,How many stars are there on the Soviet Union 's flag ?,Berapa banyak bintang yang ada di bendera Uni Soviet?
NUM,count,How many minutes were there on the original GE College Bowl clock ?,Berapa menit ada di jam GE College Bowl asli?
NUM,count,What is the chromosome number of an elephant ?,Berapa jumlah kromosom gajah?
NUM,count,How many corners does a spritsail have ?,Berapa banyak sudut yang dimiliki spritsail?
NUM,count,How many years did it take James Joyce to write Ulysses ?,Berapa tahun yang dibutuhkan James Joyce untuk menulis Ulysses?
NUM,count,How many stars are there in Big Dipper ?,Berapa banyak bintang di Big Dipper?
NUM,count,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?","Berapa megawatt yang akan dihasilkan oleh proyek pembangkit listrik di Indonesia, yang dibangun oleh sebuah konsorsium yang dipimpin oleh Mission Energy AS?"
NUM,count,How many varieties of apple are there ?,Ada berapa varietas apel?
NUM,count,How many astronauts have been on the moon ?,Berapa banyak astronot di bulan?
NUM,count,"How many miles is it from London , England to Plymouth , England ?","Berapa mil dari London, Inggris ke Plymouth, Inggris?"
NUM,count,How many grooves are on a dime ?,Berapa banyak alur yang ada dalam sepeser pun?
NUM,count,How many counties are in Indiana ?,Berapa banyak kabupaten di Indiana?
NUM,count,How many years do fossils take to form ?,Berapa tahun fosil terbentuk?
NUM,count,Approximately how many students are enrolled at the University of Massachusetts ?,Kira-kira berapa banyak siswa yang terdaftar di University of Massachusetts?
LOC,country,What country did the ancient Romans refer to as Hibernia ?,Negara apa yang disebut orang Romawi kuno sebagai Hibernia?
LOC,country,What is a country that starts with the letter x ?,Apa negara yang dimulai dengan huruf x?
LOC,country,Which Latin American country is the largest ?,Negara Amerika Latin manakah yang terbesar?
LOC,country,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?","Negara mana yang pertama kali menggunakan pesawat terbang sebagai senjata perang, melawan Turki di Libya?"
LOC,country,What country was Sir Edmund Hillary born in ?,Di negara mana Sir Edmund Hillary dilahirkan?
LOC,country,What two countries ' coastlines border the Bay of Biscay ?,Apa garis pantai kedua negara yang membatasi Teluk Biscay?
LOC,country,What country received all the Nobel Prizes awarded in 1976 ?,Negara apa yang menerima semua Hadiah Nobel yang diberikan pada tahun 1976?
ENTY,cremat,What was the name of that popular song the Creeps sang ?,Apa nama lagu populer yang dinyanyikan Creeps?
ENTY,cremat,What Nevil Shute novel is about the doomed survivors of a nuclear war ?,Apa novel Nevil Shute tentang korban selamat dari perang nuklir?
ENTY,cremat,What is the first book of the Old Testament ?,Apakah buku pertama Perjanjian Lama?
ENTY,cremat,What was Mel Gibson 's first movie ?,Apa film pertama Mel Gibson?
ENTY,cremat,What Homerian epic chronicles events toward the end of the Trojan Wars ?,Apa peristiwa kronik epik Homerian menjelang akhir Perang Troya?
ENTY,cremat,What is the name of Jamiroquai new album ?,Apa nama album baru Jamiroquai?
ENTY,cremat,What TV series features the adventures of a married couple named Jonathan and Jennifer ?,Serial TV apa yang menceritakan petualangan pasangan menikah bernama Jonathan dan Jennifer?
ENTY,currency,What type of currency is used in China ?,Jenis mata uang apa yang digunakan di Tiongkok?
NUM,date,When did the last Americans leave Vietnam ?,Kapan orang Amerika terakhir meninggalkan Vietnam?
NUM,date,What day of the week sees the most fatal car accidents ?,Hari apa dalam seminggu menyaksikan kecelakaan mobil paling fatal?
NUM,date,What year was the setting for American Graffiti ?,Tahun berapa pengaturan untuk Graffiti Amerika?
NUM,date,When did Hitler come to power in Germany ?,Kapan Hitler berkuasa di Jerman?
NUM,date,When was the first steel mill in the United States built ?,Kapan pabrik baja pertama di Amerika Serikat dibangun?
NUM,date,When was Microsoft established ?,Kapan Microsoft didirikan?
NUM,date,When is Bastille Day ?,Kapan Hari Bastille?
